Банк	Лицензия	ликвдата	причина	статус	хреф
Либра	2980	09.10.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, несоблюдением требований к размеру собственных средств (капитала). 
<br/> 
ООО ""КБ ""Либра"" не создавало адекватных резервов на возможные потери по ссудам, не соблюдало значения обязательных нормативов, а также представляло в Банк России существенно недостоверную отчетность.
<br/> 
Банк в течение трех месяцев 2009 года допускал снижение размера собственных средств (капитала) ниже размера собственных средств (капитала), достигнутого им на 1 января 2007 года. Банк не предпринял предусмотренных Федеральным законом мер по увеличению размера собственных средств (капитала) до уровня, имевшегося по состоянию на 1 января 2007 года, при этом в Банк России не поступило ходатайство банка об изменении своего статуса на статус небанковской кредитной организации.</dd>]"	отозв.	/banks/memory/bank/?id=1489156
Взаимный Банк	3445	09.10.2009	"[<dd class=""margin-bottom-zero"">Лицензия на осуществление банковских операций отозвана в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 6 и 7 (за исключением пункта 3 статьи 7) Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"", установлением фактов существенной недостоверности отчетных данных, а также снижением размера собственных средств (капитала) кредитной организации ниже минимального значения уставного капитала, установленного на дату государственной регистрации кредитной организации.
<br/> 
ООО КБ ""Взаимный банк"" не создавало адекватные резервы на возможные потери по ссудам, не соблюдало обязательные нормативы и порядок формирования обязательных резервов в Банке России, несвоевременно направляло в Росфинмониторинг сообщения об операциях, подлежащих обязательному контролю. Кроме того, кредитная организация представляла в Банк России существенно недостоверную отчетность, скрывающую основания для осуществления мер по предупреждению несостоятельности (банкротства).</dd>]"	отозв.	/banks/memory/bank/?id=1489160
Первомайский	652	24.09.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неспособностью удовлетворить требования кредиторов по денежным обязательствам.
<br/> 
В связи с утратой ликвидности ООО ""Коммерческий банк ""Первомайский"" (""Комбанк ""Первомайский"") не смогло обеспечивать своевременное осуществление расчетов по счетам клиентов. При этом банк не создавал адекватные резервы на возможные потери по ссудам, не соблюдал обязательные нормативы и порядок формирования обязательных резервов в Банке России. </dd>]"	отозв.	/banks/memory/bank/?id=1460107
Векомбанк	2844	03.09.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неспособностью кредитной организации удовлетворить требования кредиторов по денежным обязательствам.
<br/>
В связи с проведением высокорискованной кредитной политики ОАО ""Восточно-Европейский коммерческий банк (ВЕКОМБАНК) утратило платежеспособность и не смогло обеспечить своевременное исполнение обязательств перед кредиторами и вкладчиками. Кроме того, кредитная организация нарушала обязательные нормативы и не соблюдала правила ведения бухгалтерского учета.</dd>]"	отозв.	/banks/memory/bank/?id=1425411
Межбизнесбанк	3280	03.09.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также неоднократным нарушением в течение одного года требований Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма""
<br/>
ООО ""Банк Международного Бизнеса"" (МежБизнесБанк) несвоевременно направлял в Росфинмониторинг сообщения об операциях, подлежащих обязательному контролю, проводил рискованную кредитную политику и не создавал адекватные резервы на возможные потери по ссудам. Кроме того, кредитная организация представляла в Банк России недостоверную отчетность, не исполняла требования по выполнению норматива обязательных резервов, а также нарушала валютное законодательство Российской Федерации.
<br/>
В июне - первой декаде августа 2009 года группой резидентов – клиентов банка в пользу нерезидентов по сомнительным сделкам с товарами в виде авансовых платежей были переведены денежные средства в объеме более 7 млрд. рублей. Денежные средства по таким сделкам переводились преимущественно в пользу нескольких английских компаний на их счета, открытые в банках Латвии.</dd>]"	отозв.	/banks/memory/bank/?id=1425397
Вымпел	2874	27.08.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, а также неспособностью кредитной организации удовлетворить требования кредиторов по денежным обязательствам.

<br/>
Кредитная организация несвоевременно осуществляла расчеты по счетам клиентов, не соблюдала правила ведения бухгалтерского учета, а также представляла в Банк России существенно недостоверную отчетность, скрывающую основания для осуществления мер по предупреждению несостоятельности (банкротства).</dd>]"	отозв.	/banks/memory/bank/?id=1413483
Град-Банк	2750	20.08.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с установлением фактов существенной недостоверности отчетных данных Град-Банка, достаточностью капитала ниже 2 процентов, снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации.
<br/>
В связи с проведением высокорискованной кредитной политики в 2009 году ОАО «Акционерно-коммерческий банк «Град-Банк» полностью утратило собственные средства (капитал). При этом банк представлял в Банк России существенно недостоверную отчетность, скрывающую неудовлетворительное финансовое положение кредитной организации.</dd>]"	отозв.	/banks/memory/bank/?id=1404837
Банк Высоких Технологий	3167	30.07.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, а также учитывая неоднократное применение мер в порядке надзора.<br/>
ООО «Коммерческий банк «Банк высоких технологий» проводило рискованную кредитную политику, не создавало адекватные резервы на возможные потери по ссудам и допускало нарушения обязательных нормативов. Кроме того, банк несвоевременно исполнял обязательства перед отдельными кредиторами, в т. ч. по обязательным платежам в бюджет, и не соблюдал правила ведения бухгалтерского учета.</dd>]"	отозв.	/banks/memory/bank/?id=1378614
Межрегфинкомбанк	658	10.07.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неоднократным нарушением в течение одного года требований Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"".
<br/>
ОАО ""Межрегфинкомбанк"" не направлял в Росфинмониторинг сведения об операциях, подлежащих обязательному контролю. Кроме того, кредитная организация не создавала адекватные резервы на возможные потери по ссудам.
<br/>
Со второй половины июня по первую декаду июля 2009 года клиентами ОАО ""Межрегфинкомбанк"" в пользу нерезидентов по сомнительным сделкам с услугами были переведены денежные средства в объеме около 2,9 млрд рублей. Получателями денежных средств по таким сделкам являлись в основном офшорные компании, являющиеся клиентами банков Украины, Кипра, Литвы. В этот же период банком были проведены операции, имеющие признаки ""обналичивания"" денежных средств, на сумму около 1,2 млрд рублей.</dd>]"	отозв.	/banks/memory/bank/?id=1348087
Евро Трейд	3432	02.07.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также несоблюдением требований к размеру собственных средств (капитала).
<br/>
ООО ""Банк Евро Трейд"" не создавало адекватные резервы на возможные потери по ссудам, не соблюдала правила ведения бухгалтерского учета, а также допускала нарушения норматива обязательных резервов, депонируемых в Банке России, несвоевременно исполняла обязательства перед отдельными кредиторами.
<br/>
На 4 отчетные даты 2009 года банк допустил снижение размера собственных средств (капитала) ниже размера собственных средств (капитала), достигнутого им на 1 января 2007 года. При этом банк не предпринял предусмотренных Федеральным законом мер по увеличению размера собственных средств (капитала) до уровня, имевшегося по состоянию на 1 января 2007 года, не подал в Банк России ходатайство об изменении своего статуса на статус небанковской кредитной организации.</dd>]"	отозв.	/banks/memory/bank/?id=1333009
Интернациональный Торговый Банк	3063	25.06.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, достаточностью капитала ниже 2 процентов, снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации.
<br/>
В связи с проведением высокорискованной кредитной политики Коммерческий банк ""Интернациональный Торговый Банк"" (КБ ""ИТ-Банк"") полностью утратил собственные средства (капитал). При этом кредитная организация не соблюдала обязательные нормативы и представляла в Банк России существенно недостоверную отчетность, скрывающую основания для осуществления мер по предупреждению несостоятельности (банкротства).
</dd>]"	отозв.	/banks/memory/bank/?id=1321329
Индустриальный	3156	25.06.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неоднократным нарушением в течение года требований Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"".
<br/> 
ООО ""Коммерческий банк ""Индустриальный"" (КБИ Банк) не соблюдал сроки направления в Росфинмониторинг сообщений об операциях, подлежащих обязательному контролю. Кроме того, банк не создавал адекватные резервы на возможные потери по ссудам.
<br/> 
На протяжении 2008 года и первой половины 2009 года резидентами-клиентами банка на систематической основе и в крупных масштабах проводились операции, связанные с переводами денежных средств в пользу нерезидентов по различным сомнительным сделкам с товарами. Денежные средства резидентами-клиентами банка переводились в пользу иностранных компаний, зарегистрированных преимущественно в офшорных зонах (Британские Виргинские острова, Белиз), Великобритании, Новой Зеландии и являющихся клиентами банков Латвии, Кипра, Эстонии, Турции.</dd>]"	отозв.	/banks/memory/bank/?id=1321361
Соотечественники	2931	18.06.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, достаточностью капитала ниже 2 процентов, снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации, а также неспособностью кредитной организации удовлетворить требования кредиторов по денежным обязательствам.
<br/>
ОАО Банк ""Соотечественники"" проводил высокорискованную кредитную политику, что привело к потере ликвидности и собственных средств (капитала), неспособности своевременно осуществлять расчеты по счетам клиентов. При этом ОАО Банк ""Соотечественники"" представлял в Банк России существенно недостоверную отчетность, скрывающую неудовлетворительное финансовое положение кредитной организации, а также не создавал адекватные резервы на возможные потери по ссудам, не исполнял требования предписаний Банка России.</dd>]"	отозв.	/banks/memory/bank/?id=1309680
Столыпин	2946	21.05.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неоднократным нарушением в течение одного года требований Федерального закона «О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма».
<br/>
КБ «Столыпин» (ЗАО) не направлял в Росфинмониторинг сообщения об операциях, подлежащих обязательному контролю, допускал нарушения платежной дисциплины и норматива обязательных резервов, а также не исполнял требования предписания Банка России. В настоящее время кредитная организация фактически прекратила свою деятельность.
<br/>
В апреле – первой декаде мая 2009 года клиентами КБ «Столыпин» (ЗАО) в пользу нерезидентов по сомнительным сделкам с товарами и услугами были переведены денежные средства в объеме около 3,2 млрд. рублей. Получателями денежных средств по таким сделкам являлись в основном офшорные и английские компании – клиенты банков Кипра, Латвии, Киргизии. Кроме этого, в этот же период банком были проведены операции клиентов, имеющие признаки «обналичивания» денежных средств, на сумму более 500 млн. рублей.</dd>]"	отозв.	/banks/memory/bank/?id=1264417
Расчетная палата МРС (НКО)	3469	21.05.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением кредитной организацией законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 6 и 7 (за исключением пункта 3 статьи 7) Федерального закона «О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма».
<br/>
НКО «Расчетная палата МРС» (ЗАО) несвоевременно направляла в Росфинмониторинг сведения об операциях, подлежащих обязательному контролю. Кроме того, кредитная организация не соблюдала сроки  представления  отчетности в Банк России.
<br/>
В период с декабря 2008 года по апрель  2009 года значительной по составу группой организаций - клиентов НКО «Расчетная палата МРС» (ЗАО) в пользу нерезидентов по сомнительным сделкам с товарами и договорам об оказании консультационных услуг были переведены денежные средства в объеме более 230 млн. долларов и 2,5 млрд. рублей. Получателями денежных средств по таким сделкам являлись в основном офшорные и английские компании – клиенты банков Латвии, Кипра, ОАЭ, Турции, Эстонии.</dd>]"	отозв.	/banks/memory/bank/?id=1264424
Поволжский Немецкий Банк	2967	07.05.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с установлением фактов существенной недостоверности отчетных данных, достаточностью капитала ниже 2 процентов, снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации.
<br/>
В связи с проведением высокорискованной кредитной политики Закрытое акционерное общество ""Поволжский немецкий банк"" ЗАО ""WDB-банк"" полностью утратило собственные средства (капитал). При этом кредитная организация не создавала адекватные резервы на возможные потери по ссудам, не соблюдала значения обязательных нормативов и представляла в Банк России существенно недостоверную отчетность.

<br/>
В соответствии с Федеральным законом ""О дополнительных мерах для укрепления стабильности банковской системы в период до 31 декабря 2011 года"" Банком России совместно с государственной корпорацией ""Агентство по страхованию вкладов"" проведена оценка финансового положения ЗАО ""WDB-банк"", по результатам которой установлено отсутствие экономических возможностей к его санированию.

</dd>]"	отозв.	/banks/memory/bank/?id=1104111
Юникбанк	2336	23.04.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неспособностью кредитной организации удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей.
<br/> 

В связи с потерей ликвидности ЗАО АКБ ""Юникбанк"" не обеспечивал своевременное осуществление расчетов по счетам клиентов. Кроме того, банк не создавал адекватные резервы на возможные потери по ссудам, а также не соблюдал обязательные нормативы ликвидности.</dd>]"	отозв.	/banks/memory/bank/?id=962582
Петро-Аэро-Банк	3227	23.04.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, а также установлением фактов существенной недостоверности отчетных данных.
<br/> 

ОАО КБ ""Петро-Аэро-Банк"" неадекватно оценивала кредитные риски и не создавала в надлежащем размере резервы на возможные потери по ссудам и прочим активам. Кроме того, банком не соблюдались значения обязательных нормативов, а также систематически представлялась в Банк России существенно недостоверная отчетность.</dd>]"	отозв.	/banks/memory/bank/?id=962603
Сибирско-Московский Коммерческий Банк	3069	16.04.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, достаточностью капитала ниже 2 процентов, а также снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации.

<br/> <br/>В связи с проведением высокорискованной кредитной политики ООО «Коммерческий Банк «Сибирско-Московский Коммерческий Банк» полностью утратил собственные средства (капитал). Кроме того, банк не создавал адекватные резервы на возможные потери по ссудам, а также представлял в Банк России существенно недостоверную отчетность.</dd>]"	отозв.	/banks/memory/bank/?id=948491
Фемили	346	16.04.2009	"[<dd class=""margin-bottom-zero"">Лицензия на осуществление банковских операций отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, достаточностью капитала ниже 2 процентов, снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации, а также неспособностью удовлетворить требования кредиторов по денежным обязательствам.
<br/>

ООО «Коммерческий банк «Фемили» полностью утратило собственные средства (капитал). Кроме того, в связи с потерей ликвидности банк не обеспечивал своевременное осуществление расчетов по счетам клиентов.</dd>]"	отозв.	/banks/memory/bank/?id=948271
НПК-Банк	3442	30.03.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, неоднократным нарушением в течение одного года требований Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"", снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации.
<br/> 

В связи с проведением высокорискованной кредитной политики величина собственных средств (капитала)ООО ""Коммерческий банк ""Банк новых программ кредитования"" (НПК-Банк) снизилась ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации. Кроме того, банк несвоевременно направлял в Росфинмониторинг сведения об операциях, подлежащих обязательному контролю, не создавал адекватные резервы на возможные потери по ссудам, а также не соблюдал сроки представления отчетности в Банк России.

<br/> 
В период с июня 2008 года по март 2009 года группой резидентов - клиентов банка, имеющих признаки ""фирм-однодневок"", систематически переводились крупные суммы денежных средств в виде авансовых платежей в пользу нерезидентов по сомнительным сделкам об импорте товаров на условиях коммерческого кредитования. В целом за указанный период клиентами банка были переведены в пользу нерезидентов денежные средства в объеме около 14,5 млрд рублей, а их получателями явились иностранные компании - клиенты банков Молдовы, Кипра, Эстонии, Латвии, Украины, Киргизии, Азербайджана.</dd>]"	отозв.	/banks/memory/bank/?id=910132
Федеральный Инвестиционный Банк	1422	30.03.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, неоднократным нарушением в течение одного года требований Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"", а также неисполнением в срок, установленный Федеральным законом ""О несостоятельности (банкротстве) кредитных организаций"", требования Банка России о приведении в соответствие величины уставного капитала и размера собственных средств (капитала).
<br/> 

ОАО ""КБ ""Федеральный Инвестиционный Банк"" неоднократно допускало нарушения требований Федерального закона ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма"" в части своевременного направления в Росфинмониторинг сведений по операциям, подлежащим обязательному контролю.

<br/> 
Банк проводил высокорискованную кредитную политику, не создавал адекватные резервы на возможные потери по ссудам, не соблюдал установленные значения обязательных нормативов, а также представлял в Банк России существенно недостоверную отчетность. Кроме того, кредитная организация не исполнила требование предписания Банка России о приведении в соответствие величины уставного капитала и размера собственных средств (капитала).

</dd>]"	отозв.	/banks/memory/bank/?id=910147
Соцкредитбанк	2553	19.03.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, достаточностью капитала ниже 2%, снижением размера собственных средств (капитала) ниже минимального значения, установленного Банком России на дату государственной регистрации кредитной организации, неспособностью удовлетворить требования кредиторов по денежным обязательствам.

<br/> 
В связи с проведением высокорискованной кредитной политики ООО «Коммерческий банк социальной защиты населения ""Соцкредитбанк"" полностью утратил собственные средства (капитал). Банк не обеспечивал своевременное осуществление расчетов по счетам клиентов.</dd>]"	отозв.	/banks/memory/bank/?id=893960
Муниципальный Коммерческий Банк	1731	05.03.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неисполнением банком федеральных законов, регулирующих банковскую деятельность, нормативных актов Банка России, установлением фактов существенной недостоверности отчетных данных, неспособностью удовлетворить требования кредиторов по денежным обязательствам и исполнить обязанность по уплате обязательных платежей. 
<br/>

В связи с потерей ликвидности ОАО ""Муниципальный коммерческий банк"" не обеспечивал своевременное осуществление расчетов по счетам клиентов. При этом банк представлял в Банк России существенно недостоверную отчетность, скрывающую основания для осуществления мер по предупреждению несостоятельности (банкротства). </dd>]"	отозв.	/banks/memory/bank/?id=866889
Южный Торговый Банк	2478	05.03.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неспособностью кредитной организации удовлетворить требования кредиторов по денежным обязательствам.
<br/> 
В связи с потерей ликвидности ОАО АБ ""Южный Торговый Банк"" не обеспечивало своевременное осуществление расчетов по счетам клиентов. В соответствии с Федеральным законом ""О банках и банковской деятельности"" Банк России в сложившихся условиях (неисполнение банком обязательств свыше 14 дней) исполнил обязанность по отзыву лицензии на осуществление банковских операций.</dd>]"	отозв.	/banks/memory/bank/?id=866904
Банк ВЕФК - Урал	2223	19.02.2009	"[<dd class=""margin-bottom-zero"">Лицензия отозвана в связи с неспособностью ЗАО ""Банк ВЕФК-Урал"" удовлетворить требования кредиторов по денежным обязательствам. В связи с потерей ликвидности ""Банк Восточно-европейской финансовой корпорации-Урал"" не обеспечивал своевременное осуществление расчетов по счетам клиентов. Руководители и акционеры банка не смогли восстановить его финансовое положение и устранить основания, обязывающие Банк России отозвать у кредитной организации лицензию на осуществление банковских операций.</dd>]"	отозв.	/banks/memory/bank/?id=846864
