Уникальные банки
Традо-Банк лицензия № 1065, Москва и обл.
Эл Банк лицензия № 1025, Самарская обл.
Тексбанк лицензия № 2756, Карачаево-Черкесия
Потенциал лицензия № 1019, Самарская обл.
Альтернатива лицензия № 3452, Москва и обл.
Металлург лицензия № 2877, Москва и обл.
Первый Республиканский Банк лицензия № 1730, Москва и обл.
Еврофинанс Моснарбанк лицензия № 2402, Москва и обл.
Милбанк лицензия № 3256, Москва и обл.
Евразийский Банк лицензия № 969, Москва и обл.
Трастовый Банк лицензия № 2780, Дагестан
Банк Уралсиб лицензия № 2275, Москва и обл.
Холдинг-Кредит лицензия № 3030, Москва и обл.
3
Нордеа Банк лицензия № 3016, Москва и обл.
Финпромбанк (ФПБ Банк) лицензия № 2157, Москва и обл.
Кредит Урал Банк лицензия № 2584, Челябинская обл.
Умут лицензия № 2435, Дагестан
Ганзакомбанк лицензия № 1734, Санкт-Петербург и обл.
Регион лицензия № 233, Ярославская обл.
Сургутнефтегазбанк лицензия № 588, Ханты-Мансийский АО — Югра
Инкахран лицензия № 3454, Москва и обл.
Росэнергобанк лицензия № 2211, Москва и обл.
Невский Банк лицензия № 1068, Санкт-Петербург и обл.
Тарханы лицензия № 459, Пензенская обл.
Белгородпромстройбанк лицензия № 1816, Белгородская обл.
Трансэнергобанк лицензия № 3106, Дагестан
Международный Финансовый Клуб лицензия № 2618, Москва и обл.
Си Ди Би Банк лицензия № 3339, Краснодарский край
Майский лицензия № 1673, Кабардино-Балкария
Жилкредит лицензия № 1736, Москва и обл.
Спиритбанк лицензия № 2053, Тульская обл.
РТС-Банк лицензия № 3401, Самарская обл.
Оренбург лицензия № 3269, Оренбургская обл.
Тихоокеанский Внешторгбанк лицензия № 1378, Сахалинская обл.
Союзпромбанк лицензия № 2965, Москва и обл.
Америкэн Экспресс Банк лицензия № 3460, Москва и обл.
Вологжанин лицензия № 1896, Вологодская обл.
Национальная Факторинговая Компания лицензия № 3437, Москва и обл.
Юнистрим лицензия № 3467, Москва и обл.
Азия-Инвест Банк лицензия № 3303, Москва и обл.
Рунэтбанк лицензия № 2829, Москва и обл.
Расчетная Палата СВМБ лицензия № 3324, Самарская обл.
Банк Развития Технологий лицензия № 3441, Москва и обл.
Кредит Европа Банк лицензия № 3311, Москва и обл.
Природа лицензия № 3399, Москва и обл.
Современные Стандарты Бизнеса лицензия № 3397, Москва и обл.
Темпбанк лицензия № 55, Москва и обл.
1
ЦентроКредит лицензия № 121, Москва и обл.
Акрополь лицензия № 3027, Москва и обл.
Кредитбанк лицензия № 1035, Калмыкия
Дагестан лицензия № 543, Дагестан
Национальный Банк Развития Бизнеса лицензия № 2795, Москва и обл.
Городской Расчетный Центр лицензия № 3346, Курганская обл.
Одинбанк лицензия № 3197, Москва и обл.
Северстройбанк лицензия № 3507, Вологодская обл.
Балтийский Банк лицензия № 128, Москва и обл.
Кузнецкбизнесбанк лицензия № 1158, Кемеровская обл.
Кедр лицензия № 1574, Красноярский край
Идея Банк лицензия № 430, Краснодарский край
Расчетный Дом лицензия № 3350, Москва и обл.
Икано Банк лицензия № 3519, Центр
Крыловский лицензия № 456, Краснодарский край
Агророс лицензия № 2860, Саратовская обл.
Консервативный Коммерческий Банк лицензия № 1087, Астраханская обл.
Форштадт лицензия № 2208, Оренбургская обл.
Платина лицензия № 2347, Москва и обл.
Ауэрбанк лицензия № 3105, Москва и обл.
Национальный Стандарт лицензия № 3421, Москва и обл.
Международный Банк Развития лицензия № 2704, Москва и обл.
Плато-Банк лицензия № 2071, Свердловская обл.
Дом-Банк лицензия № 3209, Москва и обл.
Жилстройбанк лицензия № 2769, Москва и обл.
Кредитинвест лицензия № 1197, Дагестан
Мобильная карта лицензия № 3522, Санкт-Петербург и обл.
Ваш Личный Банк лицензия № 1222, Иркутская обл.
Нацинвестпромбанк лицензия № 3077, Москва и обл.
ЦМРБанк лицензия № 3531, Москва и обл.
Далетбанк лицензия № 3049, Москва и обл.
Урал ФД лицензия № 249, Пермская обл.
Банк БЦК-Москва лицензия № 3480, Москва и обл.
Ермак лицензия № 1809, Ханты-Мансийский АО — Югра
Возрождение лицензия № 1439, Москва и обл.
Липецкий Областной Банк лицензия № 1794, Липецкая обл.
Таатта лицензия № 1249, Саха (Якутия)
Евромет лицензия № 2902, Москва и обл.
НС Банк лицензия № 3124, Москва и обл.
Финтрастбанк лицензия № 3104, Москва и обл.
Сервис-Резерв лицензия № 2034, Москва и обл.
Солидарность (Самара) лицензия № 554, Самарская обл.
Банк Сберегательно-кредитного сервиса лицензия № 3224, Москва и обл.
Метрополь лицензия № 1639, Москва и обл.
Нейва лицензия № 1293, Свердловская обл.
Классик Эконом Банк лицензия № 3298, Северная Осетия — Алания
Унифин лицензия № 2654, Москва и обл.
КОР лицензия № 2148, Волгоградская обл.
Неополис-Банк лицензия № 2809, Москва и обл.
Народный Банк лицензия № 2249, Карачаево-Черкесия
Международный Промышленный Банк лицензия № 2056, Москва и обл.
Имбанк лицензия № 2098, Дагестан
Рента-Банк лицензия № 3095, Москва и обл.
УМ-Банк лицензия № 1441, Москва и обл.
Ростпромстройбанк лицензия № 1705, Ростовская обл.
Нэклис-Банк лицензия № 1671, Москва и обл.
Вакобанк лицензия № 1291, Псковская обл.
АйМаниБанк лицензия № 1975, Москва и обл.
ФФин Банк лицензия № 1143, Москва и обл.
Региональный Банк Сбережений лицензия № 3367, Москва и обл.
Сибэс лицензия № 208, Омская обл.
Навигатор лицензия № 2469, Москва и обл.
Финчер лицензия № 3486, Москва и обл.
Рабобанк лицензия № 3488, Москва и обл.
Банк Долгосрочного Кредитования лицензия № 3391, Москва и обл.
Банк Расчетов и Сбережений лицензия № 2617, Москва и обл.
Кошелев-Банк лицензия № 3300, Нижегородская обл.
Центральная Расчетная Палата лицензия № 3313, Москва и обл.
Первый Дортрансбанк лицензия № 3271, Кировская обл.
Русский Трастовый Банк лицензия № 1139, Москва и обл.
Камчатка лицензия № 2966, Камчатская обл.
Саровбизнесбанк лицензия № 2048, Нижегородская обл.
Ю Би Эс Банк лицензия № 3463, Москва и обл.
Аресбанк лицензия № 2914, Москва и обл.
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк) лицензия № 3316, Москва и обл.
Юниаструм Банк лицензия № 2771, Москва и обл.
Мосводоканалбанк лицензия № 2863, Москва и обл.
Алемар лицензия № 2384, Новосибирская обл.
Кошелев-Банк лицензия № 3300, Самарская обл.
Соверен Банк лицензия № 3206, Татарстан
Развитие-Столица лицензия № 3013, Москва и обл.
Ханты-Мансийский банк Открытие лицензия № 1971, Тюменская обл.
Донбанк лицензия № 2984, Ростовская обл.
Банк Город лицензия № 2644, Коми
Западный лицензия № 2598, Москва и обл.
Актив Банк лицензия № 2529, Мордовия
Континенталь лицензия № 3184, Ставропольский край
Спецстройбанк лицензия № 236, Москва и обл.
Проинвестбанк лицензия № 784, Пермская обл.
Банк БФТ лицензия № 2273, Москва и обл.
Росгосстрах Банк лицензия № 3073, Москва и обл.
Тагилбанк лицензия № 1635, Свердловская обл.
Челябинвестбанк лицензия № 493, Челябинская обл.
Дальний Восток лицензия № 3318, Приморский край
Данске Банк лицензия № 3307, Санкт-Петербург и обл.
Метробанк лицензия № 2548, Москва и обл.
Тетраполис лицензия № 1586, Санкт-Петербург и обл.
РБА лицензия № 3413, Ярославская обл.
Меткомбанк (Череповец) лицензия № 901, Вологодская обл.
Прокоммерцбанк лицензия № 2996, Москва и обл.
Мой Банк. Ипотека лицензия № 2436, Башкортостан
Экспо Финанс лицензия № 2594, Москва и обл.
Кольцо Урала лицензия № 65, Свердловская обл.
Финанс Бизнес Банк лицензия № 520, Краснодарский край
Мираф-Банк лицензия № 2244, Омская обл.
Бинбанк лицензия № 323, Москва и обл.
Монетный Дом лицензия № 419, Челябинская обл.
ЕвроАксис Банк лицензия № 3273, Москва и обл.
Прохладный лицензия № 874, Кабардино-Балкария
Россельхозбанк лицензия № 3349, Москва и обл.
Евразийский Банк лицензия № 969, Забайкальский край
Газбанк лицензия № 2316, Самарская обл.
ПЧРБ Банк лицензия № 3291, Москва и обл.
Витас Банк лицензия № 1955, Москва и обл.
Нижневолжский Коммерческий Банк лицензия № 931, Саратовская обл.
Межрегиональный Клиринговый Банк лицензия № 2543, Москва и обл.
Заречье лицензия № 817, Татарстан
Европейский лицензия № 1616, Калининградская обл.
Коммерцбанк (Евразия) лицензия № 3333, Москва и обл.
Сибирский Энергетический Банк лицензия № 2604, Москва и обл.
РУБанк лицензия № 2813, Москва и обл.
Интехбанк лицензия № 2705, Татарстан
Русь лицензия № 704, Оренбургская обл.
Инвестбанк лицензия № 107, Калининградская обл.
Зернобанк лицензия № 2337, Алтайский край
Старооскольский Агропромбанк лицензия № 1050, Белгородская обл.
Канский лицензия № 860, Красноярский край
Принтбанк лицензия № 546, Москва и обл.
Народный Кредит лицензия № 2401, Москва и обл.
Баренцбанк лицензия № 2188, Мурманская обл.
ФФин Банк лицензия № 1143, Сахалинская обл.
Внешпромбанк лицензия № 3261, Москва и обл.
Вестинтербанк лицензия № 3398, Москва и обл.
Русский Стандарт лицензия № 2289, Москва и обл.
Региональный Банк Развития лицензия № 2782, Башкортостан
Эллипс Банк лицензия № 1950, Нижегородская обл.
Евроазиатский Инвестиционный Банк лицензия № 2897, Москва и обл.
Чайнасельхозбанк лицензия № 3529, Москва и обл.
Креди Агриколь КИБ лицензия № 1680, Санкт-Петербург и обл.
Финансово-Промышленный Капитал лицензия № 3295, Москва и обл.
Промрегионбанк лицензия № 2123, Москва и обл.
Стройиндбанк лицензия № 155, Москва и обл.
КЭБ ЭйчЭнБи Банк лицензия № 3525, Москва и обл.
Промсвязьбанк лицензия № 3251, Москва и обл.
Уральский Банк Реконструкции и Развития лицензия № 429, Свердловская обл.
Флора-Москва лицензия № 533, Москва и обл.
Строительно-Коммерческий Банк лицензия № 3050, Архангельская обл.
Фондсервисбанк лицензия № 2989, Москва и обл.
Риабанк лицензия № 3434, Москва и обл.
Тувакредит лицензия № 1202, Тыва
ФИА-Банк лицензия № 2542, Самарская обл.
Совинком лицензия № 2302, Москва и обл.
Альфа-Банк лицензия № 1326, Москва и обл.
Костромаселькомбанк лицензия № 1115, Костромская обл.
РосЕвроБанк лицензия № 3137, Москва и обл.
Банк Премьер Кредит лицензия № 1663, Москва и обл.
Альба Альянс лицензия № 2593, Москва и обл.
Кранбанк лицензия № 2271, Ивановская обл.
Русский Национальный Банк лицензия № 469, Ростовская обл.
ЕАТП Банк лицензия № 1765, Астраханская обл.
Тойота Банк лицензия № 3470, Москва и обл.
Тамбовкредитпромбанк лицензия № 1312, Тамбовская обл.
Майма лицензия № 1037, Москва и обл.
Инвест-Экобанк лицензия № 1956, Санкт-Петербург и обл.
Волжский Социальный Банк лицензия № 2428, Самарская обл.
Прио-Внешторгбанк лицензия № 212, Рязанская обл.
Инкредбанк лицензия № 3405, Москва и обл.
Деньги.Мэйл.Ру лицензия № 3511, Москва и обл.
Региональный Корпоративный Банк лицензия № 1134, Ивановская обл.
Росбизнесбанк лицензия № 1405, Москва и обл.
Бинбанк Сургут лицензия № 1701, Ханты-Мансийский АО — Югра
Белгородсоцбанк лицензия № 760, Белгородская обл.
Сириус лицензия № 3506, Омская обл.
Сунжа лицензия № 2023, Ингушетия
Клиентский лицензия № 2324, Москва и обл.
Объединенный Банк Республики лицензия № 1016, Чувашия
Бинбанк Сургут лицензия № 1701, Тюменская обл.
АйМаниБанк лицензия № 1975, Республика Алтай
Удмуртский Пенсионный Банк лицензия № 1764, Удмуртия
лицензия № ,
Камчаткомагропромбанк лицензия № 545, Камчатская обл.
Кубаньторгбанк лицензия № 478, Краснодарский край
Таврический лицензия № 2304, Санкт-Петербург и обл.
Гагаринский лицензия № 606, Москва и обл.
ИстКом-Финанс лицензия № 3435, Москва и обл.
Межрегиональный центр микрокредитования лицензия № 3489, Воронежская обл.
Севастопольский Морской Банк лицензия № 3528, Севастополь
Гута-Банк лицензия № 256, Москва и обл.
Лидер лицензия № 3304, Москва и обл.
Тройка лицензия № 2051, Москва и обл.
Приморье лицензия № 3001, Приморский край
Мострансбанк лицензия № 2258, Москва и обл.
Златкомбанк лицензия № 568, Москва и обл.
Спурт Банк лицензия № 2207, Татарстан
Стелла-Банк лицензия № 2948, Ростовская обл.
ИНГ Банк лицензия № 2495, Москва и обл.
МАК-Банк лицензия № 1088, Москва и обл.
Промсельхозбанк лицензия № 538, Москва и обл.
Век лицензия № 2299, Москва и обл.
Стандарт-Кредит лицензия № 841, Адыгея
Вестерн Юнион ДП Восток лицензия № 2726, Москва и обл.
Уссури лицензия № 596, Хабаровский край
Колыма-Банк лицензия № 1076, Магаданская обл.
Выборг-Банк лицензия № 720, Санкт-Петербург и обл.
К2 Банк лицензия № 2851, Карачаево-Черкесия
Тайдон лицензия № 2085, Кемеровская обл.
Росэксимбанк лицензия № 2790, Москва и обл.
МФБанк лицензия № 3163, Москва и обл.
НСТ-Банк лицензия № 1738, Оренбургская обл.
Кредо Финанс лицензия № 793, Дагестан
Муниципальный Камчатпрофитбанк лицензия № 2103, Камчатская обл.
Инбанк лицензия № 1829, Москва и обл.
Солид Банк лицензия № 1329, Камчатская обл.
Региональный Банк Развития — Московский филиал лицензия № 2782, Россия
Витязь лицензия № 2890, Москва и обл.
Яндекс.Деньги лицензия № 3510, Россия
Капиталбанк лицензия № 2547, Ростовская обл.
Современный Коммерческий Инновационный Банк лицензия № 3329, Костромская обл.
Углеметбанк лицензия № 2997, Челябинская обл.
Мосстройэкономбанк (М Банк) лицензия № 948, Москва и обл.
Югра лицензия № 880, Ханты-Мансийский АО — Югра
Прайм Финанс лицензия № 2758, Санкт-Петербург и обл.
Москва лицензия № 1661, Москва и обл.
Финансовый Капитал лицензия № 3288, Санкт-Петербург и обл.
КИП-Банк лицензия № 2843, Москва и обл.
РН Банк лицензия № 170, Омская обл.
Бумеранг лицензия № 1002, Вологодская обл.
Финансовые Услуги лицензия № 3496, Москва и обл.
Лесбанк лицензия № 1598, Москва и обл.
Анталбанк лицензия № 3115, Москва и обл.
Алеф-Банк лицензия № 2119, Москва и обл.
АФ Банк лицензия № 991, Башкортостан
Индустриальный Сберегательный Банк лицензия № 3175, Москва и обл.
Онлайн Банк лицензия № 2462, Москва и обл.
Торговый Городской Банк лицензия № 3180, Тверская обл.
Народный Доверительный Банк лицензия № 2374, Москва и обл.
Северо-Западный 1 Альянс Банк лицензия № 766, Санкт-Петербург и обл.
Охотный Ряд лицензия № 3375, Москва и обл.
ПК-Банк лицензия № 2652, Нижегородская обл.
Контраст-Банк лицензия № 2857, Москва и обл.
РИТЦ Банк лицензия № 2677, Карелия
Банк Казани лицензия № 708, Татарстан
Плюс Банк лицензия № 1189, Омская обл.
Бэнк оф Чайна лицензия № 2309, Москва и обл.
Республиканский Банк лицензия № 3277, Москва и обл.
Расчетный Финансовый Дом лицензия № 3430, Санкт-Петербург и обл.
Финам Банк лицензия № 2799, Москва и обл.
Финарс Банк лицензия № 2938, Москва и обл.
НК Банк лицензия № 2755, Москва и обл.
Европейский Стандарт лицензия № 3200, Москва и обл.
Объединенный Национальный Банк лицензия № 2074, Москва и обл.
Русфинанс Банк лицензия № 1792, Самарская обл.
Трансстройбанк лицензия № 2807, Москва и обл.
Гринфилдбанк лицензия № 2711, Москва и обл.
Русич Центр Банк лицензия № 2793, Москва и обл.
Живаго-Банк лицензия № 2065, Рязанская обл.
Открытие / Инвестиционный банк лицензия № 2901, Москва и обл.
Новокиб лицензия № 1747, Кемеровская обл.
Курган лицензия № 2568, Курганская обл.
Социум-Банк лицензия № 2881, Москва и обл.
Алма Банк лицензия № 604, Москва и обл.
Международная Уральская Расчетная Палата лицензия № 3322, Москва и обл.
Банк РМП лицензия № 2574, Москва и обл.
Межотраслевая Банковская Корпорация лицензия № 3471, Москва и обл.
Мидзухо Банк лицензия № 3337, Москва и обл.
Инвестиционный Союз лицензия № 637, Москва и обл.
Ресурс-Траст лицензия № 3122, Москва и обл.
Тимер Банк лицензия № 1581, Татарстан
ГПБ-Ипотека лицензия № 2403, Москва и обл.
ПИР Банк лицензия № 2655, Москва и обл.
Электронный платежный сервис лицензия № 3509, Москва и обл.
НБК-Банк лицензия № 3283, Москва и обл.
Новокузнецкий Муниципальный Банк лицензия № 2865, Кемеровская обл.
Гранд Инвест Банк лицензия № 3053, Москва и обл.
РФИ Банк лицензия № 3351, Москва и обл.
Р-Инкас лицензия № 3536, Москва и обл.
Мерседес-Бенц Банк Рус лицензия № 3473, Москва и обл.
Натиксис Банк лицензия № 3390, Москва и обл.
Строительно-Коммерческий Банк лицензия № 3050, Санкт-Петербург и обл.
Сургутский Центральный Коммерческий Банк лицензия № 684, Ханты-Мансийский АО — Югра
Балтсоцкомбанк лицензия № 2545, Калининградская обл.
Межтопэнергобанк лицензия № 2956, Москва и обл.
БыстроБанк лицензия № 1745, Удмуртия
Азимут лицензия № 3154, Москва и обл.
Кредит-Москва лицензия № 5, Москва и обл.
Межбанковский Кредитный Союз лицензия № 3242, Москва и обл.
Интеркапитал-Банк лицензия № 2706, Мордовия
МГБ лицензия № 2866, Дагестан
Россия лицензия № 328, Санкт-Петербург и обл.
Нефтепромбанк лицензия № 2156, Москва и обл.
Почтобанк лицензия № 1788, Пермская обл.
Транскредитбанк лицензия № 2142, Москва и обл.
Кузнецкий Мост лицензия № 2254, Москва и обл.
Кузбассхимбанк лицензия № 2868, Кемеровская обл.
Иваново лицензия № 1763, Ивановская обл.
Региональный Коммерческий Банк лицензия № 836, Ульяновская обл.
Фора-Банк лицензия № 1885, Москва и обл.
Свенска Хандельсбанкен лицензия № 3455, Москва и обл.
Зираат Банк лицензия № 2559, Москва и обл.
Волгопромбанк лицензия № 701, Волгоградская обл.
Курскпромбанк лицензия № 735, Курская обл.
Ставропольпромстройбанк лицензия № 1288, Ставропольский край
Земкомбанк лицензия № 574, Ростовская обл.
Уралкапиталбанк лицензия № 2519, Башкортостан
Славянский Кредит лицензия № 2960, Москва и обл.
Центрально-Европейский Банк лицензия № 2670, Забайкальский край
Монета.ру лицензия № 3508, Марий Эл
Энтузиастбанк лицензия № 3048, Москва и обл.
Торговый Городской Банк лицензия № 3180, Москва и обл.
Геленджик-Банк лицензия № 790, Краснодарский край
Банк «Открытие» лицензия № 2179, Москва и обл.
Камабанк лицензия № 803, Пермская обл.
Национальный Клиринговый Центр лицензия № 3466, Москва и обл.
Интеркоммерц Банк лицензия № 1657, Москва и обл.
Единая Расчетная Палата лицензия № 384, Москва и обл.
Ассоциация лицензия № 732, Нижегородская обл.
Башкомснаббанк лицензия № 1398, Башкортостан
Нота-Банк лицензия № 2913, Москва и обл.
НОМОС-Банк-Сибирь лицензия № 410, Новосибирская обл.
Бинбанк Тверь лицензия № 777, Тверская обл.
ОТП Банк лицензия № 2766, Москва и обл.
Экопромбанк лицензия № 2011, Пермская обл.
Европейский Трастовый Банк лицензия № 2968, Москва и обл.
ПэйЮ лицензия № 3518, Москва и обл.
Славия лицензия № 2664, Москва и обл.
Бинбанк Столица лицензия № 3052, Москва и обл.
Платежный Стандарт лицензия № 3530, Новосибирская обл.
Газэнергобанк лицензия № 3252, Калужская обл.
Еврокоммерц лицензия № 1777, Москва и обл.
Сумитомо Мицуи лицензия № 3494, Москва и обл.
Банк ПСА Финанс Рус лицензия № 3481, Москва и обл.
Огни Москвы лицензия № 2328, Москва и обл.
Монолит лицензия № 1967, Москва и обл.
Братский АНКБ лицензия № 1144, Иркутская обл.
Руна-Банк лицензия № 3207, Москва и обл.
Единая касса лицензия № 3512, Москва и обл.
Ситибанк лицензия № 2557, Москва и обл.
Еврокредит лицензия № 2957, Москва и обл.
Красноярский Краевой Расчетный Центр лицензия № 3483, Красноярский край
Преодоление лицензия № 2649, Москва и обл.
Инновационный Расчетный Центр лицензия № 3447, Москва и обл.
Мурманский Социальный Коммерческий Банк лицензия № 2722, Мурманская обл.
Внешфинбанк лицензия № 3173, Краснодарский край
Екатеринбург лицензия № 3161, Свердловская обл.
Премиум лицензия № 3514, Москва и обл.
Агросоюз лицензия № 1459, Москва и обл.
Таганрогбанк лицензия № 3136, Ростовская обл.
Новый Промышленный Банк лицензия № 930, Москва и обл.
С банк лицензия № 2581, Москва и обл.
Невастройинвест лицензия № 1926, Санкт-Петербург и обл.
Галабанк лицензия № 3090, Адыгея
Инвестбанк лицензия № 107, Москва и обл.
Новопокровский лицензия № 467, Краснодарский край
Локо-Банк лицензия № 2707, Москва и обл.
Русский Ипотечный Банк лицензия № 1968, Москва и обл.
Академический Русский Банк лицензия № 622, Москва и обл.
ПэйПал Ру лицензия № 3517, Москва и обл.
Сургутский Центральный Коммерческий Банк лицензия № 684, Тюменская обл.
М2М Прайвет Банк лицензия № 1414, Москва и обл.
Пульс Столицы лицензия № 3002, Москва и обл.
Московский Вексельный Банк лицензия № 2697, Москва и обл.
Витабанк лицензия № 356, Санкт-Петербург и обл.
Первый Земельный Расчетный Центр лицензия № 3381, Курская обл.
Алжан лицензия № 2491, Дагестан
Бизнес для Бизнеса лицензия № 1060, Чувашия
Леноблбанк лицензия № 1003, Санкт-Петербург и обл.
Гарант-Инвест лицензия № 2576, Москва и обл.
Банк Финсервис лицензия № 3388, Москва и обл.
Межтрастбанк лицензия № 2493, Москва и обл.
РИТЦ Банк лицензия № 2677, Москва и обл.
Международный Торгово-Промышленный Банк лицензия № 1203, Тверская обл.
Эко-Инвест лицензия № 3116, Москва и обл.
Нацпромбанк лицензия № 2360, Москва и обл.
НКБ лицензия № 2942, Калмыкия
Национальный Резервный Банк лицензия № 2170, Москва и обл.
ЭнергоБизнес лицензия № 3485, Москва и обл.
Банк ВВБ лицензия № 1093, Ярославская обл.
Альта-Банк лицензия № 2269, Москва и обл.
Евразбанк лицензия № 1676, Москва и обл.
Профессионал Банк (бывш. Наш Дом) лицензия № 3296, Москва и обл.
МФТ-Банк лицензия № 3356, Москва и обл.
Левобережный лицензия № 1343, Новосибирская обл.
Дойче Банк лицензия № 3328, Москва и обл.
Платежный Центр лицензия № 3166, Новосибирская обл.
Эсидбанк лицензия № 1991, Дагестан
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк) лицензия № 3316, Костромская обл.
Инкаробанк лицензия № 2696, Москва и обл.
Платежный Сервисный Банк лицензия № 1943, Башкортостан
Саратов лицензия № 330, Саратовская обл.
Стройвестбанк лицензия № 1667, Калининградская обл.
ИпоТек Банк лицензия № 2794, Москва и обл.
ГРиС-Банк лицензия № 1928, Ставропольский край
Фидбэк лицензия № 3502, Москва и обл.
Центр-инвест лицензия № 2225, Ростовская обл.
Плюс Банк лицензия № 1189, Москва и обл.
Совкомбанк лицензия № 963, Костромская обл.
Первый Экспресс лицензия № 3237, Тульская обл.
Крокус-Банк лицензия № 2682, Москва и обл.
Тольяттихимбанк лицензия № 2507, Самарская обл.
Терра лицензия № 3476, Москва и обл.
Экспобанк лицензия № 2998, Москва и обл.
Экспресс лицензия № 3084, Дагестан
Газэнергопромбанк лицензия № 3284, Москва и обл.
Объединенная Расчетная Палата лицензия № 3451, Москва и обл.
Енисейский Объединенный Банк лицензия № 2645, Красноярский край
Инвестторгбанк лицензия № 2763, Москва и обл.
Мой Банк лицензия № 2939, Москва и обл.
Русское Финансовое Общество лицензия № 3427, Москва и обл.
Региональный Банк Развития — Московский филиал лицензия № 2782, Москва и обл.
Басманный лицензия № 2158, Москва и обл.
Дальний Восток лицензия № 3318, Тульская обл.
Экспресс-Волга лицензия № 3085, Саратовская обл.
Лайтбанк лицензия № 3177, Москва и обл.
Национальный Залоговый Банк лицензия № 2944, Москва и обл.
Социнвестбанк лицензия № 1132, Башкортостан
21 Век лицензия № 3309, Санкт-Петербург и обл.
Аверс лицензия № 415, Татарстан
Объединенный Национальный Банк лицензия № 2074, Нижегородская обл.
Горбанк лицензия № 2982, Санкт-Петербург и обл.
БайкалИнвестБанк лицензия № 1067, Иркутская обл.
Интеркоопбанк лицензия № 2803, Москва и обл.
Заубер Банк лицензия № 1614, Карачаево-Черкесия
Тюменьагропромбанк лицензия № 917, Тюменская обл.
Дербент-Кредит лицензия № 2090, Дагестан
Фреско Банк лицензия № 1415, Ярославская обл.
Первый Депозитный Банк лицензия № 1244, Тверская обл.
Кредпромбанк лицензия № 1165, Ярославская обл.
Уралприватбанк лицензия № 153, Свердловская обл.
Экономикс-Банк лицензия № 2136, Москва и обл.
Ютикпэй лицензия № 3521, Москва и обл.
Хованский лицензия № 2145, Москва и обл.
Пурпе лицензия № 709, Тюменская обл.
БМВ Банк лицензия № 3482, Москва и обл.
Интерактивный Банк лицензия № 3378, Москва и обл.
Международный Строительный Банк лицензия № 3484, Москва и обл.
Приватхолдингбанк лицензия № 3372, Москва и обл.
Глобэкс лицензия № 1942, Москва и обл.
Торгово-Строительный Банк лицензия № 1250, Москва и обл.
Нерюнгрибанк лицензия № 825, Саха (Якутия)
Международный Расчетный Банк лицензия № 3028, Москва и обл.
Дон-Тексбанк лицензия № 1818, Ростовская обл.
Рублев лицензия № 3098, Москва и обл.
ПВ-Банк лицензия № 634, Ульяновская обл.
Вкабанк лицензия № 1027, Астраханская обл.
РЕСО Кредит лицензия № 3450, Москва и обл.
Онего лицензия № 2484, Карелия
Турбобанк лицензия № 3203, Санкт-Петербург и обл.
Народный Банк Тувы лицензия № 1309, Тыва
Банк БКФ лицензия № 2684, Москва и обл.
Итуруп лицензия № 2390, Сахалинская обл.
Венец лицензия № 524, Ульяновская обл.
Нафтабанк лицензия № 715, Дагестан
Связной Банк лицензия № 1961, Москва и обл.
Алтынбанк лицензия № 2070, Татарстан
РСКБ лицензия № 2050, Москва и обл.
Славянбанк лицензия № 804, Новгородская обл.
Ханты-Мансийский банк Открытие лицензия № 1971, Москва и обл.
Континенталь лицензия № 3184, Дагестан
РУБанк лицензия № 2813, Ростовская обл.
Миръ лицензия № 3089, Москва и обл.
Международная Уральская Расчетная Палата лицензия № 3322, Свердловская обл.
Уральская Расчетная Палата лицензия № 3326, Москва и обл.
Н-Банк лицензия № 3493, Москва и обл.
Интеррасчет лицензия № 1618, Москва и обл.
Хлебобанк лицензия № 1812, Москва и обл.
Агроинкомбанк лицензия № 1946, Астраханская обл.
Банк Развития Региона лицензия № 3315, Северная Осетия — Алания
ПК-Банк лицензия № 2652, Москва и обл.
Надежность лицензия № 2425, Курганская обл.
Максима лицензия № 3379, Москва и обл.
Петрофф-Банк лицензия № 2466, Москва и обл.
Союз лицензия № 2307, Москва и обл.
Кроссинвестбанк лицензия № 2849, Москва и обл.
Народный Земельно-Промышленный Банк лицензия № 2873, Алтайский край
Московский Кредитный Банк лицензия № 1978, Москва и обл.
Вега-Банк лицензия № 3270, Москва и обл.
Уралсиб-Юг Банк лицензия № 457, Краснодарский край
Петербургский Социальный Коммерческий Банк лицензия № 2551, Санкт-Петербург и обл.
Новация лицензия № 840, Адыгея
Анджибанк лицензия № 570, Дагестан
Спецсетьстройбанк лицензия № 3062, Москва и обл.
Евроинвест лицензия № 3383, Москва и обл.
Образование лицензия № 1521, Москва и обл.
Адмиралтейский лицензия № 3054, Москва и обл.
Банк Развития Бизнеса лицензия № 1910, Кемеровская обл.
Соцэкономбанк лицензия № 2917, Москва и обл.
Рингкомбанк лицензия № 1909, Ингушетия
Ипозембанк лицензия № 3026, Самарская обл.
НБД-Банк лицензия № 1966, Нижегородская обл.
Азиатско-Тихоокеанский Банк лицензия № 1810, Амурская обл.
Вокбанк лицензия № 312, Нижегородская обл.
Центрально-Азиатский лицензия № 3037, Хакасия
Удмуртинвестстройбанк лицензия № 2447, Удмуртия
Лада-Кредит лицензия № 2668, Самарская обл.
Коммерческий Банк Развития лицензия № 3364, Москва и обл.
Эксперт Банк лицензия № 2949, Омская обл.
